quadOriginal,quad,time,dates,ini.date,fin.date,elap.yr,site,ID,ini.area,ini.perim,ini.feret,ini.notes,fin.area,fin.perim,fin.feret,fin.notes,tran,survival,ini.areaLN,fin.areaLN
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_26,1.469,4.453,1.496,NA,0.002,0.729,0.364,gone,B,0,0.384581897,-6.214608098
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_27,0.331,2.087,0.728,NA,0.546,2.702,0.912,,B,1,-1.105636904,-0.605136303
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_28,0.757,3.17,1.044,NA,0.66,2.974,1.033,angle,B,1,-0.278392026,-0.415515444
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_30,0.088,1.077,0.377,NA,0.01,0.823,0.397,gone,B,0,-2.430418465,-4.605170186
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_32,0.145,1.4,0.489,NA,0.003,0.851,0.425,gone,B,0,-1.931021537,-5.80914299
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_39,1.163,3.968,1.364,NA,1.056,3.789,1.328,,B,1,0.151002874,0.054488185
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_51,0.131,1.311,0.467,NA,0.279,1.929,0.652,,B,1,-2.032557956,-1.276543497
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_1,0.237,1.765,0.598,NA,0.634,2.931,1.031,,B,1,-1.439695138,-0.455706325
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_6,0.611,2.897,0.958,NA,0.731,3.11,1.021,,B,1,-0.49265832,-0.313341819
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_8,0.121,1.299,0.432,NA,0.002,0.515,0.255,gone,B,0,-2.111964733,-6.214608098
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_9,0.261,1.873,0.637,NA,0.334,2.108,0.735,,B,1,-1.343234872,-1.096614286
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_10,0.378,2.24,0.757,NA,0.628,2.9,0.997,,B,1,-0.972861083,-0.465215113
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_11,0.247,1.802,0.629,NA,0.519,2.637,0.897,,B,1,-1.398366942,-0.655851396
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_12,0.655,2.955,0.97,NA,0.79,3.257,1.116,,B,1,-0.423120043,-0.235722334
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_16,0.55,2.725,0.977,NA,0.762,3.246,1.163,,B,1,-0.597837001,-0.271808723
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_17,0.862,3.378,1.141,NA,0.896,3.462,1.188,,B,1,-0.148500008,-0.109814866
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_18,0.171,1.508,0.519,NA,0.000676,0.612,0.306,gone,B,0,-1.766091722,-7.299317482
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_19,0.259,1.846,0.643,NA,0.416,2.34,0.785,,B,1,-1.350927217,-0.877070019
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_20,0.197,1.619,0.562,NA,0.004,1.107,0.553,gone,B,0,-1.62455155,-5.521460918
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_22,0.98,3.638,1.27,NA,1.206,4.023,1.381,,B,1,-0.020202707,0.187309098
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_24,1.477,4.402,1.496,NA,1.128,3.895,1.331,,B,1,0.390013004,0.120446153
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_25,0.698,3.061,1.037,NA,0.724,3.113,1.065,,B,1,-0.359536176,-0.322963887
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_26,0.39,2.272,0.757,NA,0.339,2.124,0.732,,B,1,-0.94160854,-1.081755172
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_27,0.394,2.277,0.785,NA,0.434,2.404,0.806,,B,1,-0.93140437,-0.834710745
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_28,0.131,1.301,0.444,NA,0.244,1.806,0.598,,B,1,-2.032557956,-1.410587054
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_29,0.472,2.517,0.843,NA,0.504,2.604,0.927,,B,1,-0.750776293,-0.685179011
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_30,0.633,2.927,1.03,NA,0.847,3.383,1.182,angle,B,1,-0.457284857,-0.166054584
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_31,0.139,1.344,0.479,NA,0.533,2.686,0.943,,B,1,-1.973281346,-0.629233855
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_32,0.183,1.573,0.548,NA,0.317,2.053,0.684,,B,1,-1.698269126,-1.148853505
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_42,0.715,3.134,1.136,NA,0.742,3.155,1.097,,B,1,-0.335472736,-0.298406036
B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3_43,0.094,1.104,0.386,NA,0.014,1.515,0.756,gone,B,0,-2.364460497,-4.268697949
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_4,0.607,2.879,1.005,NA,0.84,3.336,1.109,,B,1,-0.499226488,-0.174353387
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_5,0.582,2.809,0.971,NA,0.003,0.603,0.297,gone,B,0,-0.541284831,-5.80914299
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_6,0.589,2.808,0.989,NA,0.004,0.674,0.334,gone,B,0,-0.529329095,-5.521460918
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_7,0.528,2.667,0.911,NA,0.653,2.981,1.041,,B,1,-0.638658995,-0.42617815
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_8,0.968,3.602,1.238,NA,0.000276,0.444,0.222,gone,B,0,-0.032523192,-8.195109692
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_9,0.286,1.948,0.655,NA,0.556,2.733,0.913,,B,1,-1.251763468,-0.586986985
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_10,0.304,2.023,0.684,NA,0.578,2.789,0.927,,B,1,-1.190727578,-0.54818141
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_11,0.597,2.828,0.952,NA,0.667,2.993,1.032,,B,1,-0.515838166,-0.404965233
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_12,0.852,3.402,1.176,NA,1.003,3.674,1.287,,B,1,-0.160168752,0.002995509
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_13,0.588,2.818,1.003,NA,0.661,2.958,1.026,angle,B,1,-0.531028331,-0.414001439
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_17,0.436,2.428,0.846,NA,0.726,3.101,1.053,,B,1,-0.830113036,-0.320205264
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_18,0.459,2.493,0.889,NA,0.586,2.906,1.101,angle,B,1,-0.778705069,-0.534435489
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_19,0.683,3.04,1.07,NA,0.907,3.547,1.291,,B,1,-0.381260419,-0.097612829
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_20,0.903,3.541,1.312,NA,1.118,3.932,1.38,,B,1,-0.102032726,0.111541375
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_21,0.11,1.207,0.429,NA,0.001,0.373,0.186,gone,B,0,-2.207274913,-6.907755279
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_22,0.676,2.999,0.994,NA,0.846,3.349,1.094,,B,1,-0.391562203,-0.167235919
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_23,0.077,1.021,0.355,NA,0.328,2.068,0.686,,B,1,-2.563949857,-1.114741671
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_24,0.532,2.675,0.905,NA,0.538,2.685,0.911,angle,B,1,-0.63111179,-0.619896719
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_25,0.917,3.545,1.262,NA,1.141,3.92,1.365,,B,1,-0.086647807,0.131905071
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_27,0.326,2.092,0.731,NA,0.374,2.241,0.744,angle,B,1,-1.120857898,-0.983499482
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_29,0.818,3.31,1.183,NA,1.01,3.652,1.254,,B,1,-0.200892942,0.009950331
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_30,0.609,2.824,0.944,NA,0.76,3.174,1.052,,B,1,-0.495937011,-0.274436846
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_31,0.237,1.775,0.624,NA,0.358,2.191,0.751,,B,1,-1.439695138,-1.027222293
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_32,0.821,3.327,1.13,NA,1.014,3.673,1.265,,B,1,-0.19723217,0.013902905
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_33,0.432,2.436,0.882,NA,0.465,2.523,0.923,fuzzy,B,1,-0.839329691,-0.765717873
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_35,1.05,3.769,1.365,NA,0.003,0.603,0.301,gone,B,0,0.048790164,-5.80914299
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_37,0.736,3.127,1.102,NA,0.881,3.402,1.158,,B,1,-0.30652516,-0.126697653
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_38,0.662,3.031,1.083,NA,0.827,3.342,1.142,,B,1,-0.412489723,-0.189950584
B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4_40,0.205,1.648,0.568,NA,0.309,2.037,0.698,    ,B,1,-1.5847453,-1.174414002
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_1,0.672,3.013,1.02,NA,0.849,3.365,1.137,,D,1,-0.397496938,-0.163696093
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_8,0.806,3.317,1.171,NA,0.939,3.568,1.231,,D,1,-0.215671536,-0.0629398
D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1_9,0.118,1.26,0.426,NA,0.542,2.692,0.921,,D,1,-2.137070655,-0.612489278
