orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
54,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,41,B41,41,0.115,1.241,0.429,,41,0.249,1.831,0.617,,B
55,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,42,B42,NA,NA,NA,NA,,42,0.003,0.862,0.43,gone,B
56,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,43,B43,NA,NA,NA,NA,,43,0.2,1.634,0.539,recruit,B
57,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,44,B44,NA,NA,NA,NA,,44,0.194,1.611,0.572,recruit,B
58,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,45,B45,NA,NA,NA,NA,,45,0.134,1.337,0.487,recruit,B
59,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,46,B46,NA,NA,NA,NA,,46,0.155,1.443,0.497,,B
60,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,B1,1,0.368,2.221,0.745,fuzzy,1,0.352,2.156,0.735,,B
61,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,B2,2,0.365,2.2,0.791,fuzzy,2,0.555,2.706,0.9,,B
62,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,B3,3,0.623,2.862,0.944,fuzzy,3,0.002,0.509,0.253,gone,B
63,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,B4,4,1.419,4.371,1.465,,4,1.546,4.539,1.506,,B
64,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,5,B5,5,0.213,1.664,0.564,,5,0.472,2.505,0.83,,B
65,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,6,B6,6,0.4,2.323,0.809,,6,0.569,2.763,0.965,,B
66,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,7,B7,7,0.728,3.145,1.113,,7,0.761,3.173,1.067,,B
67,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,8,B8,8,0.934,3.603,1.242,,8,1.03,3.71,1.246,,B
68,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,9,B9,9,0.585,2.822,0.997,,9,0.763,3.204,1.138,,B
69,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,10,B10,10,1.038,3.781,1.303,,10,1.059,3.779,1.274,,B
70,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,11,B11,11,0.065,0.919,0.328,,11,0.002,0.57,0.283,gone,B
71,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,12,B12,12,0.855,3.438,1.264,,12,0.911,3.559,1.233,,B
