orig.row,quadOriginal,quad,tran,time,dates,ini.date,fin.date,elap.yr,site,coral.id,ini.area,fin.area
90,SC5_50,SC5_50,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_18,0.221,0.452
92,SC5_50,SC5_50,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_2,0.423,0.706
99,SC5_50,SC5_50,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_6,0.161,0.296
108,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_11,0.033,0.301
111,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_2,0.495,0.91
113,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_4,0.43,0.395
114,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_5,0.596,0.647
115,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_6,0.509,0.801
116,SC6_21,SC6_21,SC6,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_7,0.155,0.303
129,SC7_2,SC7_2,SC7,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_2_9,0.047,0.253
133,SC7_3,SC7_3,SC7,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_3_3,0.69,0.603
140,SC7_4,SC7_4,SC7,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_1,0.209,0.371
145,SC7_4,SC7_4,SC7,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_5,0.062,0.191
146,SC7_4,SC7_4,SC7,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_6,0.626,0.699
155,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_1,0.375,0.531
156,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_10,0.801,0.662
158,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_12,0.513,0.618
160,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_14,0.649,0.683
161,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_15,0.527,0.442
162,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_16,0.395,0.44
165,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_19,0.08,0.443
168,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_21,0.306,0.523
171,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_4,0.48,0.59
172,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_5,0.272,0.182
173,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_6,0.276,0.277
174,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_7,0.585,0.63
175,SC8_38,SC8_38,SC8,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_8,0.163,0.434
1,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A1,0.759,0.894
3,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3,0.694,0.779
4,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A4,0.596,0.637
6,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A6,0.677,0.944
7,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A7,0.504,0.73
10,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A10,0.925,0.866
11,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A11,0.412,0.697
12,A3_,A,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A12,0.379,0.631
15,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2,0.702,0.642
16,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B3,0.312,0.316
18,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B5,0.76,0.763
19,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B6,0.261,0.321
20,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B7,1.669,1.574
22,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B9,0.175,0.394
23,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B10,0.709,0.91
29,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B16,0.663,0.837
36,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B23,0.777,0.714
40,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B27,0.584,0.5
41,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B28,0.377,0.501
42,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B29,0.489,0.449
44,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B31,0.66,0.731
50,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B37,0.584,0.668
51,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B38,0.709,0.801
54,B1_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B41,0.115,0.249
63,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4,1.419,1.546
64,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B5,0.213,0.472
65,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B6,0.4,0.569
66,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B7,0.728,0.761
67,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B8,0.934,1.03
68,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B9,0.585,0.763
69,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B10,1.038,1.059
71,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B12,0.855,0.911
73,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B14,0.344,0.476
74,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B15,0.317,0.578
75,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B16,0.076,0.132
77,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B18,0.108,0.124
83,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B24,0.313,0.467
86,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B27,0.331,0.546
98,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B39,1.163,1.056
110,B2_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B51,0.131,0.279
117,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1,0.237,0.634
122,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B6,0.611,0.731
125,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B9,0.261,0.334
126,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B10,0.378,0.628
127,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B11,0.247,0.519
128,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B12,0.655,0.79
132,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B16,0.55,0.762
133,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B17,0.862,0.896
135,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B19,0.259,0.416
138,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B22,0.98,1.206
140,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B24,1.172,1.128
141,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B25,0.698,0.724
142,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B26,0.39,0.339
143,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B27,0.394,0.434
144,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B28,0.131,0.244
145,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B29,0.472,0.504
146,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B30,0.609,0.76
147,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B31,0.139,0.533
148,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B32,0.183,0.317
158,B3_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B42,0.715,0.742
168,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B4,0.607,0.84
171,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B7,0.528,0.653
173,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B9,0.286,0.556
174,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B10,0.304,0.578
175,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B11,0.597,0.667
176,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B12,0.852,1.003
181,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B17,0.436,0.726
183,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B19,0.683,0.907
184,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B20,0.903,1.118
186,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B22,0.676,0.846
187,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B23,0.077,0.328
189,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B25,0.917,1.141
193,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B29,0.818,1.01
195,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B31,0.237,0.358
196,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B32,0.821,1.014
201,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B37,0.736,0.881
202,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B38,0.662,0.827
204,B4_,B,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B40,0.205,0.309
209,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1,0.672,0.849
216,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D8,0.806,0.939
217,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D9,0.118,0.542
218,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D10,0.062,0.309
220,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D12,0.242,0.405
225,D1_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D17,0.255,0.28
230,D2_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D1,0.542,0.49
231,D2_,D,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,D2,0.47,0.543
264,D4_,D,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D6,0.514,0.467
266,D4_,D,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D8,0.418,0.443
268,D4_,D,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,D10,0.717,0.751
