"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"63",63,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",4,"B4",4,1.419,4.371,1.465,"",4,1.546,4.539,1.506,"","B",0.349952398177906,0.43567095016523
"64",64,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",5,"B5",5,0.213,1.664,0.564,"",5,0.472,2.505,0.83,"","B",-1.54646311327271,-0.750776293396582
"65",65,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",6,"B6",6,0.4,2.323,0.809,"",6,0.569,2.763,0.965,"","B",-0.916290731874155,-0.563874844855806
"66",66,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",7,"B7",7,0.728,3.145,1.113,"",7,0.761,3.173,1.067,"","B",-0.317454230785451,-0.273121921120451
"67",67,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",8,"B8",8,0.934,3.603,1.242,"",8,1.03,3.71,1.246,"","B",-0.0682788407532944,0.0295588022415444
"68",68,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",9,"B9",9,0.585,2.822,0.997,"",9,0.763,3.204,1.138,"","B",-0.536143431750281,-0.27049724769768
"69",69,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",10,"B10",10,1.038,3.781,1.303,"",10,1.059,3.779,1.274,"","B",0.0372957847436969,0.0573250666192694
"70",70,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",11,"B11",11,0.065,0.919,0.328,"",11,0.002,0.57,0.283,"gone","B",-2.7333680090865,-6.21460809842219
"71",71,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",12,"B12",12,0.855,3.438,1.264,"",12,0.911,3.559,1.233,"","B",-0.156653810045377,-0.0932123817221787
"73",73,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",14,"B14",14,0.344,2.153,0.745,"",14,0.476,2.504,0.843,"","B",-1.06711362160874,-0.742337424750717
"74",74,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",15,"B15",15,0.317,2.093,0.73,"",15,0.578,2.772,0.942,"","B",-1.14885350510486,-0.54818141030976
"75",75,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",16,"B16",16,0.076,1.017,0.369,"",16,0.132,1.352,0.459,"","B",-2.57702193869581,-2.02495335639577
"76",76,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",17,"B17",17,0.627,2.93,1.021,"",17,0.522,2.683,0.968,"angle","B",-0.466808738349216,-0.650087691099498
"77",77,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",18,"B18",18,0.108,1.21,0.441,"",18,0.124,1.28,0.435,"","B",-2.22562405185792,-2.0874737133771
"80",80,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",21,"B21",21,1.023,3.731,1.296,"",21,0.002,0.672,0.335,"gone","B",0.0227394869694893,-6.21460809842219
"81",81,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",22,"B22",22,0.444,2.441,0.875,"",22,0.006,0.693,0.343,"nv","B",-0.811930716549912,-5.11599580975408
"83",83,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",24,"B24",24,0.313,2.048,0.695,"",24,0.467,2.498,0.859,"","B",-1.16155208844198,-0.76142602131324
"85",85,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",26,"B26",26,1.469,4.453,1.496,"",26,0.002,0.729,0.364,"gone","B",0.38458189719174,-6.21460809842219
"86",86,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",27,"B27",27,0.331,2.087,0.728,"",27,0.546,2.702,0.912,"","B",-1.10563690360507,-0.605136303237232
"87",87,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",28,"B28",28,0.757,3.17,1.044,"",28,0.66,2.974,1.033,"angle","B",-0.278392025544688,-0.415515443961666
"89",89,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",30,"B30",30,0.088,1.077,0.377,"",30,0.01,0.823,0.397,"gone","B",-2.43041846450393,-4.60517018598809
"91",91,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",32,"B32",32,0.145,1.4,0.489,"",32,0.003,0.851,0.425,"gone","B",-1.93102153656156,-5.80914299031403
"92",92,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",33,"B33",33,1,3.645,1.189,"",33,0.005,0.932,0.476,"nv","B",0,-5.29831736654804
"98",98,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",39,"B39",39,1.163,3.968,1.364,"",39,1.056,3.789,1.328,"","B",0.151002873536527,0.0544881852840698
"99",99,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",40,"B40",40,0.612,2.859,0.949,"",40,0.007,1.124,0.544,"nv","B",-0.491022996469811,-4.96184512992682
"100",100,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",41,"B41",41,0.41,2.33,0.764,"",41,0.007,1.124,0.544,"nv","B",-0.891598119283784,-4.96184512992682
"104",104,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",45,"B45",45,0.693,3.075,1.069,"",45,0.007,1.124,0.544,"nv","B",-0.366725279792234,-4.96184512992682
"108",108,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",49,"B49",49,0.144,1.375,0.474,"",49,0.246,1.81,0.621,"","B",-1.93794197940614,-1.40242374304977
"110",110,"B2_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",51,"B51",51,0.131,1.311,0.467,"",51,0.279,1.929,0.652,"","B",-2.03255795578099,-1.27654349716077
